,Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,wine_type
13196,Vintage Brut Champagne 2008,France,Champagne,Veuve Clicquot,4.2,899,71.69,2008,espumoso
13197,Cava Gran Reserva Brut Nature Reserva de la Familia 2016,Spain,Cava,Juvé & Camps,4.0,908,16.48,2016,espumoso
13198,Rosé Brut Champagne (Vintage) 2013,France,Champagne,Louis Roederer,4.2,913,62.9,2013,espumoso
13199,Blanc de Blancs Brut Champagne Premier Cru N.V.,France,Champagne Premier Cru,Paul Goerg,3.9,915,34.29,N.V.,espumoso
13200,Valdobbiadene Prosecco Superiore Brut N.V.,Italy,Prosecco di Treviso,Val d'Oca,3.7,921,11.6,N.V.,espumoso
13201,Grüner Veltliner Brut N.V.,Austria,Niederösterreich,Szigeti,3.8,928,12.87,N.V.,espumoso
13202,Quartese Valdobbiadene Prosecco Superiore Brut N.V.,Italy,Conegliano-Valdobbiadene Prosecco,Ruggeri,3.7,935,10.99,N.V.,espumoso
13203,Argeo Prosecco Brut N.V.,Italy,Prosecco di Treviso,Ruggeri,3.6,952,9.89,N.V.,espumoso
13204,Maximum Rosé N.V.,Italy,Trento,Ferrari,3.9,957,23.99,N.V.,espumoso
13205,Brut N.V.,Italy,Trentino-Alto Adige,Arunda,3.7,958,19.8,N.V.,espumoso
13206,Blanc de Blancs Brut Champagne Premier Cru N.V.,France,Champagne Premier Cru,Marc Hébrart,4.1,958,31.5,N.V.,espumoso
13207,Frizzante Rosè N.V.,Italy,Veneto,Villa Teresa,3.9,965,7.2,N.V.,espumoso
13208,Otello 1813 Nero di Lambrusco 2015,Italy,Emilia,Ceci,4.0,974,14.9,2015,espumoso
13209,Franciacorta Cuvée Prestige Rosé N.V.,Italy,Franciacorta,Ca' del Bosco,4.0,982,38.9,N.V.,espumoso
13210,Sèlection Brut Champagne Premier Cru N.V.,France,Champagne Premier Cru,Marc Hébrart,4.1,998,33.0,N.V.,espumoso
13211,Cava Extremarium de Mont Marçal Reserva Brut N.V.,Spain,Cava,Mont Marçal,3.6,1003,10.95,N.V.,espumoso
13212,Brut Apanage Prestige Champagne N.V.,France,Champagne,Pommery,4.1,1008,65.49,N.V.,espumoso
13213,Brut N.V.,Italy,Conegliano-Valdobbiadene Prosecco,Bepin de Eto,3.8,1009,10.85,N.V.,espumoso
13214,Sparkling Angel Brut N.V.,Chile,Central Valley,Montes,3.6,1009,18.5,N.V.,espumoso
